Police_Station,population_estimate
MKHUZE,17777
MLUNGISI,52961
MMABATHO,134138
MMAKAU,29427
MMAMETLAKE,75275
MODDER RIVER,15658
MODIMOLLE,45808
MODJADJISKLOOF,34660
MOFFATVIEW,67017
MOGWADI,28288
MOGWASE,119032
MOKOPANE,44406
MOKOPONG,545
MOLTENO,13332
MONDEOR,157299
MONDLO,100188
MONTAGU,23408
MONTCLAIR,34526
MOOI RIVER,29261
MOOIFONTEIN,45528
MOOINOOI,42964
MOOIPLAAS,12745
MOORREESBURG,23324
MOREBENG,12273
MORGENZON TRANSVAAL,11932
MOROKA,238354
MOROKWENG,28761
MOSSEL BAY,10499
MOTETEMA,78057
MOTHERWELL,97614
MOTHIBISTAD,68818
MOTHUTLUNG,12230
MOTSWEDI,50238
MOUNT AYLIFF,98220
MOUNT FLETCHER,65170
MOUNT FRERE,111230
MOUNT ROAD,35623
MOUNTAIN RISE,122616
MOWBRAY,9944
MOYENI,7233
MPHEPHU,75743
MPISI,24953
MPOPHOMENI,28964
MPUMALANGA KZN,105267
MPUNGAMHLOPHE,16213
MQANDULI,87448
MSINGA,118363
MSINSINI,37505
MSOBOMVU,41626
MTHATHA,168587
MTONTSASA,38651
MTUBATUBA,31415
MTUNZINI,79935
MUDEN,13268
MUIZENBERG,58992
MULDERSDRIFT,32744
MURRAYSBURG,7427
MUSINA,57284
MUTALE,54935
MZAMBA,67446
NABABEEP,17464
NABOOMSPRUIT,30102
NALEDI,89686
NAMAHADI,55863
NAMAKGALE,80021
NAPIER,6779
NAVALSIG,13879
NDEVANA,24032
NDUMO,39282
NDWEDWE,112986
NEBO,91954
NELSPRUIT,80715
NEMATO,18223
NEW BRIGHTON,96711
NEW HANOVER,17948
NEWARK,14648
NEWCASTLE,66053
NEWLANDS EAST,76795
NGANGELIZWE,57617
Ngcobo,108884
NGODWANA,7943
NGOME,16316
Ngqamakhwe,67479
NGQELENI,164689
NHLANHLENI,59014
NIEKERKSHOOP,2753
NIETVERDIEND,1112
NIEUWOUDTVILLE,2794
NIGEL,32410
NKANDLA,64344
NOENIEPUT,779
NONDWENI,17388
NONGOMA,198888
NORKEMPARK,70213
NORMANDIEN,3241
NORTHAM,30768
NORVALSPONT,1374
NORWOOD,44060
NOTTINGHAM ROAD,8948
NOUPOORT,8266
NQUTHU,100694
NSUZE,56542
NTABAMHLOPHE,45088
NTABANKULU,119994
NTABETHEMBA,10647
NTAMBANANA,35956
NTUZUMA,117340
NUWERUS,5069
NYANGA,202332
NYONI,43903
OCEAN VIEW,40392
ODENDAALSRUS,67512
OGIES,42724
OHRIGSTAD,2865
OLIEVENHOUTBOSCH,97376
OLIFANTSFONTEIN,40710
OLIFANTSHOEK,11353
ONSEEPKANS,4039
OR TAMBO INTERN AIRP,170
ORANGE FARMS,210174
ORANJEVILLE,6181
ORKNEY,24699
ORLANDO,132759
OSIZWENI,147688
OTTOSDAL,29592
OTTOSHOOP,7599
OUDTSHOORN,74633
PAARL,51451
PAARL EAST,83690
PABALELLO,18008
